raw_character,character_id,character_name,character_group
100% quiet runner!,-1,NONCHARACTER,0
20% employee discount and I am going right back after,-1,NONCHARACTER,0
25- INT. PALMER HOUSE - NIGHT,-1,NONCHARACTER,0
"4, INT. BLUE PINE LODGE - DAY",-1,NONCHARACTER,0
ALL,-1,NONCHARACTER,0
CUT TO BLACK,-1,NONCHARACTER,0
DESK INTERCOM,-1,NONCHARACTER,0
DOCTORS DISCOVERED HE WAS ON,-1,NONCHARACTER,0
DOWN THE TRAIN TRACKS FROM THE,-1,NONCHARACTER,0
ENGAGE YOU WITH AN ANECDOTE OF NO,-1,NONCHARACTER,0
EVERYONE,-1,NONCHARACTER,0
FROM BEHIND THE DOOR,-1,NONCHARACTER,0
GUYS MAKE A LIVING LOOKING THROUGH,-1,NONCHARACTER,0
HANGOVER WAS RAW MEAT AND PLENTY,-1,NONCHARACTER,0
HAVE MY FULL SUPPORT IN THIS,-1,NONCHARACTER,0
MAKES PEOPLE WHO NEED PEOPLE THE ,-1,NONCHARACTER,0
MAN,-1,NONCHARACTER,0
OLD MAN,-1,NONCHARACTER,0
ONE EVER MENTIONED A THING ABOUT A,-1,NONCHARACTER,0
OTHER THAN THAT THE CASE BEARS NO,-1,NONCHARACTER,0
REPORT FROM ALBERT ON THE ONE,-1,NONCHARACTER,0
SHREDDING YOUR INTERNAL ORGANS OUT OF,-1,NONCHARACTER,0
STEAK SO RARE YOU COULD SELL IT AT,-1,NONCHARACTER,0
THAT MAKES YOU WISH YOU,-1,NONCHARACTER,0
TOP DOG TO INVESTIGATE THE DRUG,-1,NONCHARACTER,0
TROUBLE YOU FOR A CUP OF STRONG,-1,NONCHARACTER,0
VOICE,-1,NONCHARACTER,0
VOICE ON PHONE,-1,NONCHARACTER,0
WOMAN,-1,NONCHARACTER,0
WOMAN BOARD MEMBER,-1,NONCHARACTER,0
YOUNG WOMAN,-1,NONCHARACTER,0
YOUTH,-1,NONCHARACTER,0
ALBERT,0,ALBERT,1
ANDREW,1,ANDREW,5
ANDREW PETE,1,ANDREW,5
ANDY,2,ANDY,1
ANDY ,2,ANDY,1
ANNIE,3,ANNIE,2
ANNOUNCER,4,ANNOUNCER,7
ASIAN MAN,5,ASIAN MAN,7
AUDREY,6,AUDREY,2
AUDREY ,6,AUDREY,2
BARTENDER,7,BARTENDER,7
BATTIS,8,BATTIS,3
BATTIS ,8,BATTIS,3
BEN,9,BENJAMIN,3
BENJAMIN,9,BENJAMIN,3
HORNE,9,BENJAMIN,3
BERNARD,10,BERNARD,3
BETTY,11,BETTY,7
BIG ED,12,ED,8
ED,12,ED,8
BLACKIE,13,BLACKIE,3
BOBBY,14,BOBBY,2
BOBBYS VOICE,14,BOBBY,2
BODYGUARD,15,BODYGUARD,7
BRENNAN,16,BRENNAN,7
BRIDE,17,BRIDE,7
BRIGGS,18,MAJOR BRIGGS,6
BRIGGS ,18,MAJOR BRIGGS,6
MAJOR BRIGGS,18,MAJOR BRIGGS,6
BROCKMAN,19,BROCKMAN,7
CAPPY,20,CAPPY,7
